Date,Tank,PAR
05.07.22,1,5
05.07.22,2,6
05.07.22,3,7
05.07.22,4,7
05.07.22,5,0
05.07.22,6,0
05.07.22,7,0
05.07.22,8,0
05.07.22,9,7
05.07.22,10,7
05.07.22,11,8
05.07.22,12,6
05.07.22,13,6
05.07.22,14,6
05.07.22,15,7
05.07.22,16,8
12.07.22,1,7
12.07.22,2,7
12.07.22,3,7
12.07.22,4,8
12.07.22,5,0
12.07.22,6,0
12.07.22,7,0
12.07.22,8,0
12.07.22,9,7
12.07.22,10,8
12.07.22,11,8
12.07.22,12,6
12.07.22,13,7
12.07.22,14,7
12.07.22,15,7
12.07.22,16,7
19.07.22,9,8
19.07.22,10,9
19.07.22,11,8
19.07.22,12,7
19.07.22,13,7
19.07.22,14,7
19.07.22,15,8
19.07.22,16,9
26.07.22,1,8
26.07.22,2,7
26.07.22,3,9
26.07.22,4,8
26.07.22,5,0
26.07.22,6,0
26.07.22,7,0
26.07.22,8,0
26.07.22,9,8
26.07.22,10,10
26.07.22,11,9
26.07.22,12,7
26.07.22,13,7
26.07.22,14,7
26.07.22,15,8
26.07.22,16,10
02.08.22,1,7
02.08.22,2,8
02.08.22,3,8
02.08.22,4,7
02.08.22,5,0
02.08.22,6,0
02.08.22,7,0
02.08.22,8,0
02.08.22,9,8
02.08.22,10,9
02.08.22,11,8
02.08.22,12,7
02.08.22,13,7
02.08.22,14,7
02.08.22,15,8
02.08.22,16,8
23.08.22,1,7
23.08.22,2,8
23.08.22,3,9
23.08.22,4,8
23.08.22,5,0
23.08.22,6,0
23.08.22,7,0
23.08.22,8,0
23.08.22,9,7
23.08.22,10,8
23.08.22,11,9
23.08.22,12,7
23.08.22,13,6
23.08.22,14,8
23.08.22,15,7
23.08.22,16,9
19.09.22,1,7
19.09.22,2,7
19.09.22,3,6
19.09.22,4,7
19.09.22,5,0
19.09.22,6,0
19.09.22,7,0
19.09.22,8,0
19.09.22,9,6
19.09.22,10,7
19.09.22,11,7
19.09.22,12,7
19.09.22,13,6
19.09.22,14,6
19.09.22,15,6
19.09.22,16,7
29.09.22,1,7
29.09.22,2,9
29.09.22,3,7
29.09.22,4,7
29.09.22,5,0
29.09.22,6,0
29.09.22,7,0
29.09.22,8,0
29.09.22,9,8
29.09.22,10,7
29.09.22,11,8
29.09.22,12,6
29.09.22,13,6
29.09.22,14,7
29.09.22,15,8
29.09.22,16,8
26.10.22,1,8
26.10.22,2,8
26.10.22,3,9
26.10.22,4,7
26.10.22,5,0
26.10.22,6,0
26.10.22,7,0
26.10.22,8,0
26.10.22,9,7
26.10.22,10,9
26.10.22,11,8
26.10.22,12,7
26.10.22,13,7
26.10.22,14,8
26.10.22,15,8
26.10.22,16,9